name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
california,2024-09-30T00:00:00,16.9,16.9,11.7,71.5,0,0,,0,0,3.6,0.7,15,1011.3,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T01:00:00,15.8,15.8,11.4,75.12,0,0,,0,0,5.4,0,0,1011.7,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T02:00:00,14.6,14.6,11,78.98,0,0,,0,0,5.4,0.7,15,1011.8,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T03:00:00,14.7,14.7,11.4,80.88,0,0,,0,0,5.4,5.2,171,1011.7,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T04:00:00,14.3,14.3,10.7,79.09,0,0,,0,0,7.6,5.6,117,1011.5,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T05:00:00,14.4,14.4,10.8,79.32,0,0,,0,0,7.6,0.2,359,1011.7,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T06:00:00,12.6,12.6,10.3,85.95,0,0,,0,0,7.6,0,0,1011.9,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T07:00:00,13,13,10.7,85.86,0,0,,0,0,7.6,0,0,1012.3,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T08:00:00,14.1,14.1,11.5,84.39,0,0,,0,0,9.4,0,0,1012.8,0,15.3,4,0,0,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T09:00:00,19.3,19.3,12.3,63.7,0,0,,0,0,9.4,0,0,1013.2,0,16,24,0.1,0,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T10:00:00,23.6,23.6,9.7,41.33,0,0,,0,0,11.2,7.3,323,1013.6,0,16,46,0.2,0,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T11:00:00,26.6,26.6,6.1,26.98,0,0,,0,0,14.8,11.8,341,1013.7,0,16,64,0.2,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T12:00:00,27.4,26.5,6.6,26.85,0,0,,0,0,14.8,10.4,294,1013.5,0,16,76,0.3,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T13:00:00,29.5,27.9,6.5,23.57,0,0,,0,0,33.5,13.3,333,1013,0,16,82,0.3,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T14:00:00,30.8,29.1,7.4,23.13,0,0,,0,0,14.8,8.8,339,1012.3,0,15.9,81,0.3,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T15:00:00,32.3,30.5,8.8,23.35,0,0,,0,0,13,9.3,326,1011.7,4.5,16,74,0.3,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T16:00:00,32.5,30.6,8.1,22.15,0,0,,0,0,13,5.9,334,1011.2,0,16,61,0.2,1,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T17:00:00,32.5,30.4,6.1,19.34,0,0,,0,0,11.2,13.3,332,1011.1,0,16,44,0.2,0,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T18:00:00,31.9,30.1,8.8,24.04,0,0,,0,0,7.6,13.4,342,1011.1,0,16,22,0.1,0,10,Clear,clear-day,"E9060,KSMF,72483023232,72483993225,KSAC,72057600174"
california,2024-09-30T19:00:00,28.4,27.3,8.5,28.77,0,0,,0,0,13,8.8,324,1011.2,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T20:00:00,25.2,25.2,9.3,36.6,0,0,,0,0,13,0.9,352,1011.4,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
california,2024-09-30T21:00:00,22.3,22.3,11.1,49.28,0,0,,0,0,7.6,0,0,1011.9,0,16,0,0,0,10,Clear,clear-night,"E9060,KSMF,72483023232,72483993225,72483323206,KSAC,72057600174"
