date,time,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.coal,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.imports,fuel_mix.other,storage.stand_alone_batteries
2024/7/15,07:00:00+00:00,25186.33333,6959.25,0.255687988,27217.91667,27385.42292,304.1666667,186.9166667,0.00E+00,10910.33333,3402.916667,7245.333333,0.00E+00,-209.1666667
2024/7/15,08:00:00+00:00,23321.75,7060.166667,0.275965788,25599.41667,25909.67563,303.8333333,187.0833333,0.00E+00,10294.5,3257.833333,6460.25,0.00E+00,-538.5833333
2024/7/15,09:00:00+00:00,21926.91667,7060.083333,0.289333722,24398.58333,24882.26188,303.5833333,186.0833333,0.00E+00,9378.25,3060.25,6452.583333,0.00E+00,-582.1666667
2024/7/15,10:00:00+00:00,21733.33333,6431.583333,0.27071174,23755.75,24227.08646,301.5833333,185.5,0.00E+00,9169,2883.75,6149,0.00E+00,-297.8333333
2024/7/15,11:00:00+00:00,22026.33333,6448.75,0.270984107,23796.66667,24285.9875,304.75,184.4166667,0.00E+00,9111.083333,3149.666667,6037,0.00E+00,-135
2024/7/15,12:00:00+00:00,22774.16667,6193.75,0.251458237,24636.58333,24998.44708,314.5833333,183.0833333,0.00E+00,9543.5,2780.416667,6273.416667,0.00E+00,281.5833333
2024/7/15,13:00:00+00:00,22179.5,7618.583333,0.29689985,25626.08333,25845.14667,329.25,182.5833333,0.00E+00,9377.916667,2603.583333,5886.666667,0.00E+00,433.5
2024/7/15,14:00:00+00:00,16577.16667,13788.08333,0.521862134,26404.41667,26535.5625,332.0833333,182.4166667,0.00E+00,8106.916667,2387.333333,3988.75,0.00E+00,-1815.583333
2024/7/15,15:00:00+00:00,12358.16667,17649.75,0.664528351,26562.83333,26717.48542,333.75,183.5833333,0.00E+00,7463.666667,1867.833333,3364.75,0.00E+00,-4122.083333
2024/7/15,16:00:00+00:00,10458.75,19298.33333,0.726578669,26560.41667,26483.05833,333.75,179.6666667,0.00E+00,7003.083333,1629.916667,3037.083333,0.00E+00,-4686.416667
2024/7/15,17:00:00+00:00,8647.583333,20984.33333,0.791565959,26510.16667,26469.26583,332.9166667,169.75,0.00E+00,6540.75,1573.916667,2547,0.00E+00,-5447.916667
2024/7/15,18:00:00+00:00,8518.166667,21386.58333,0.792516494,26985.75,27025.46458,332.1666667,175.8333333,0.00E+00,6761.75,1367.916667,1753.083333,0.00E+00,-4913.166667
