interval_start_utc,interval_end_utc,net_load,renewables,renewables_to_load_ratio,load.load,load.ae,load.aep,load.aps,load.atsi,load.bc,load.comed,load.dayton,load.deok,load.dom,load.dpl,load.duq,load.ekpc,load.jc,load.me,load.pe,load.pep,load.pjm_mid_atlantic_region,load.pjm_rto,load.pjm_southern_region,load.pjm_western_region,load.pl,load.pn,load.ps,load.reco,load.ug,load_forecast.load_forecast,fuel_mix.coal,fuel_mix.gas,fuel_mix.hydro,fuel_mix.multiple_fuels,fuel_mix.nuclear,fuel_mix.oil,fuel_mix.solar,fuel_mix.storage,fuel_mix.wind,fuel_mix.other,fuel_mix.other_renewables
2024-09-30 04:00:00+00:00,2024-09-30 05:00:00+00:00,72193.24417,3846.916667,0.05138776,74859.5775,985.1624267,12184.93013,4366.297073,6420.387765,2784.217542,9455.639167,1591.149455,2441.799143,12570.42758,1583.151418,1241.213068,1175.431687,1832.80733,1314.992482,3274.675511,2621.515458,23413.96183,74859.5775,12570.42758,37702.0381,3494.090108,1639.38382,3843.564461,129.0444528,81.65000033,74995.95833,8635.833333,35874.16667,711.75,1233.416667,31424.58333,88.66666667,11,0,2655.333333,,468.8333333
2024-09-30 05:00:00+00:00,2024-09-30 06:00:00+00:00,69824.02294,3300,0.04572929,72154.43961,949.700784,11798.51026,4240.779957,6182.482178,2640.718838,9009.231542,1544.671859,2352.388085,12161.56429,1515.641079,1217.449045,1157.08818,1745.42001,1276.033572,3108.857132,2472.326037,22490.14392,72154.43961,12161.56429,36346.15613,3432.258523,1600.115431,3693.986039,124.6207583,74.95833383,72318.25,8297.916667,34865.5,509.75,1164.583333,31422.16667,76.66666667,11,0,2319.416667,,459.8333333
2024-09-30 06:00:00+00:00,2024-09-30 07:00:00+00:00,68614.56287,2879,0.04078968,70577.31287,926.9656385,11662.60803,4190.144212,6071.970643,2556.882288,8770.088333,1516.919871,2307.378168,11878.64023,1472.469318,1207.385986,1058.245805,1694.196563,1254.045309,3021.291845,2396.722702,21914.80098,70577.31287,11878.64023,35725.3402,3364.453973,1585.19841,3593.77785,121.9403142,73.30833342,70716.5,8091.166667,34108.58333,464.5833333,1049,31417.41667,77,11,0,1951.75,,451.6666667
2024-09-30 07:00:00+00:00,2024-09-30 08:00:00+00:00,68347.41039,2461.833333,0.03522278,69893.49373,915.9938786,11664.52416,4148.981413,6025.287463,2514.177268,8507.799667,1507.850728,2289.89961,11759.42801,1453.694939,1200.248668,1036.336894,1666.962018,1253.283945,3039.360068,2360.058756,21753.52609,69893.49373,11759.42801,35343.90287,3338.005021,1587.662932,3556.508826,121.0125745,72.56666733,70081.33333,7921,33563,459.25,934.5,31415.16667,80.66666667,11,0,1535.083333,,456.5
2024-09-30 08:00:00+00:00,2024-09-30 09:00:00+00:00,69581.42687,2123.583333,0.02999509,70811.0102,924.4833331,11802.35148,4238.768809,6152.96524,2545.042823,8414.715583,1536.484833,2319.458696,11900.31138,1474.015768,1214.9724,1117.413868,1717.510148,1294.865031,3095.629465,2415.066901,22113.82622,70811.0102,11900.31138,35679.93306,3403.386273,1612.858867,3599.12964,121.5333023,75.300001,71100.79167,7923.5,34036.91667,440.6666667,932.3333333,31412.25,82.83333333,11,0,1218.583333,,453.3333333
2024-09-30 09:00:00+00:00,2024-09-30 10:00:00+00:00,72824.72289,2090.5,0.02829298,73905.88956,969.913793,12285.64779,4430.071901,6404.069278,2693.00144,8548.955167,1631.225806,2423.362057,12317.50552,1568.927356,1250.077298,1142.274628,1824.539068,1383.286571,3273.873772,2616.92639,23472.47804,73905.88956,12317.50552,36975.22947,3648.424905,1700.442017,3793.684925,126.9332962,82.350001,74296.97917,8032.25,35092.33333,553.5833333,1088.833333,31420.25,83,11,0,1070.166667,,455.75
2024-09-30 10:00:00+00:00,2024-09-30 11:00:00+00:00,79164.96985,2313.666667,0.0288762,80134.13652,1055.518101,13229.92728,4799.939931,6936.888295,2976.066449,9057.8995,1799.126738,2655.948956,13068.40456,1742.278707,1317.383841,1277.988509,2015.059718,1536.99337,3625.436671,2910.479824,25992.66552,80134.13652,13068.40456,39798.46751,4085.51697,1904.069778,4125.070529,138.637301,94.2083365,79982.45833,8401.333333,38216.33333,883,1278.083333,31410,81.16666667,11,0,958.1666667,,461.5
2024-09-30 11:00:00+00:00,2024-09-30 12:00:00+00:00,84036.02248,3167.25,0.0372575,84969.43914,1085.19394,13994.85978,5030.862791,7410.619146,3162.469737,9853.000524,1939.462011,2841.080374,13593.40836,1826.534788,1377.43217,1385.059975,2109.966978,1636.212034,3856.076114,3118.39116,27543.94791,84969.43914,13593.40836,42449.22909,4343.876002,2009.374511,4371.402402,150.2958011,100.9833354,84668.20833,9113.25,40655.33333,1769.083333,1579.083333,31402.58333,80.08333333,50.41666667,0,883,,464.75
2024-09-30 12:00:00+00:00,2024-09-30 13:00:00+00:00,85877.7362,3884.666667,0.04453333,87218.4862,1060.432738,14254.72837,5151.082755,7622.68378,3218.088748,10462.64073,1990.670329,2893.591033,13876.9382,1860.834945,1437.133898,1348.112637,2147.992258,1675.415757,3981.494936,3212.586714,28184.73479,87218.4862,13876.9382,43810.385,4485.853847,2053.787255,4436.771053,158.3100137,104.0083352,87125.1875,9949.583333,41991.41667,2076.166667,1869,31410.25,81.83333333,473.8333333,0,866.9166667,,467.75
2024-09-30 13:00:00+00:00,2024-09-30 14:00:00+00:00,87000.73542,4182.25,0.047125,88746.31875,1021.623634,14507.06732,5273.615704,7771.957686,3260.628583,10857.46308,2042.594634,2935.01237,14123.27336,1876.681714,1475.288877,1311.188471,2126.752709,1709.45985,4059.124756,3252.119423,28447.95708,88746.31875,14123.27336,44860.80492,4540.660135,2066.508288,4475.666207,162.1310408,106.2333348,88773.3125,10512.25,42581.75,1975.083333,1905.833333,31400.91667,79.25,1122.5,0,623.0833333,,461.5833333
