name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york,2024-09-30T00:00:00,16.4,16.4,14.7,89.64,0,0,,0,0,18.4,4.6,10,1016.9,100,12.9,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T01:00:00,16.4,16.4,14.8,90.25,0,0,,0,0,18.4,5.2,8,1016.5,100,14.8,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T02:00:00,16.4,16.4,14.3,87.34,0,0,,0,0,18.4,4.6,8,1016.4,100,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T03:00:00,16.1,16.1,13.9,86.72,0,0,,0,0,18.4,3.8,2,1016,90.6,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T04:00:00,16.4,16.4,13.9,85.47,0,0,,0,0,18.4,6.8,24,1015.9,95.7,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T05:00:00,15.8,15.8,13.7,87.13,0,0,,0,0,16.6,8.2,32,1016,50.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T06:00:00,16.3,16.3,13.5,83.69,0,0,,0,0,18.4,10,22,1016.3,31,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T07:00:00,16.3,16.3,13.4,83.08,0,0,,0,0,18.4,8.2,16,1016.9,34.2,16,7,0,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T08:00:00,16.4,16.4,13.5,83.17,0,0,,0,0,20.5,10.6,26,1017.2,34.2,16,52,0.2,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T09:00:00,17.6,17.6,13.9,79.02,0,0,,0,0,20.5,12.5,59,1017.7,34.2,16,120,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T10:00:00,18,18,13.6,75.34,0,0,,0,0,20.5,13.9,47,1017.7,34.2,16,206,0.7,2,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T11:00:00,19,19,13.6,70.85,0,0,,0,0,33,19,51,1017.7,50.8,16,458,1.6,5,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T12:00:00,19.7,19.7,13.4,67.16,0,0,,0,0,20.5,16.9,57,1017.8,50.8,16,674,2.4,7,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T13:00:00,20.9,20.9,13.4,61.88,0,0,,0,0,25.9,16.7,45,1017.7,30.4,16,773,2.8,8,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T14:00:00,21.4,21.4,11.2,52.28,0,0,,0,0,25.9,17.9,59,1017.1,31,16,729,2.6,7,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T15:00:00,21.3,21.3,11.2,52.67,0,0,,0,0,18.4,13,44,1016.9,95.7,16,391,1.4,4,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T16:00:00,21.3,21.3,12.6,57.63,0,0,,0,0,18.4,14.7,67,1016.7,95.7,16,242,0.9,2,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T17:00:00,20,20,12.7,62.77,0,0,,0,0,22.3,11.9,60,1016.8,34.2,16,246,0.9,2,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T18:00:00,20.8,20.8,13.4,62.74,0,0,,0,0,22.3,11.2,80,1017.1,88.9,16,119,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T19:00:00,19.3,19.3,12.9,66.33,0,0,,0,0,20.5,3.6,67,1017.3,34.2,16,4,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T20:00:00,19,19,12.5,66.01,0,0,,0,0,18.4,9.9,122,1017.4,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T21:00:00,18.2,18.2,12,66.94,0,0,,0,0,18.4,4.2,66,1017.9,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T22:00:00,17.6,17.6,10.7,64.11,0,0,,0,0,18.4,9.2,101,1018,88.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-09-30T23:00:00,17.5,17.5,10.8,64.99,0,0,,0,0,18.4,7.4,84,1018,95.7,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T00:00:00,17.5,17.5,11.5,67.86,0,0,,0,0,18.4,10.5,60,1018.2,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,72503014732"
new york,2024-10-01T01:00:00,17,17,11.9,72.01,0,0,,0,0,18.4,12,60,1018.1,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T02:00:00,16.5,16.5,12.1,74.87,0,0,,0,0,18.4,3.6,39,1018.3,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T03:00:00,16.4,16.4,12.1,75.47,0,0,,0,0,18.4,4.6,33,1018.2,35.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T04:00:00,16.1,16.1,12,76.44,0,0,,0,0,20.5,9.3,54,1017.8,35.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T05:00:00,16.1,16.1,12.1,77.36,0,0,,0,0,20.5,10.6,56,1017.5,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T06:00:00,16.8,16.8,11.7,71.77,0,0,,0,0,20.5,12.9,54,1017.6,34.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T07:00:00,16.4,16.4,13.2,81.08,0,0,,0,0,22.3,13.3,36,1017.7,34.2,16,2,0,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T08:00:00,16.8,16.8,13.8,82.65,0,0,,0,0,22.3,12.1,35,1017.9,88.9,16,38,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T09:00:00,17.5,17.5,13.9,79.8,0,0,,0,0,22.3,15.1,35,1018.3,91.4,16,86,0.3,1,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T10:00:00,18.1,18.1,13.7,75.57,0,0,,0,0,47.9,14.9,51,1018.5,95.1,16,168,0.6,2,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T11:00:00,18.8,18.8,13.4,70.5,0,0,,0,0,31.7,20.3,62,1018.2,65,16,393,1.4,4,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T12:00:00,19.3,19.3,13.2,67.83,0,0,,0,0,44.6,15.6,52,1018.1,88.9,16,317,1.1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T13:00:00,19.6,19.6,13.4,67.37,0,0,,0,0,27.7,19.1,45,1018,88.9,16,265,1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T14:00:00,20,20,13.4,66.08,0,0,,0,0,24.1,17.8,37,1017.3,47.7,16,537,1.9,5,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T15:00:00,19.6,19.6,13.7,68.54,0,0,,0,0,25.9,18.7,59,1017,88.9,16,266,1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T16:00:00,19.8,19.8,13.4,66.51,0,0,,0,0,24.1,16.1,67,1016.7,65,16,487,1.8,5,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T17:00:00,19.8,19.8,12.9,64.37,0,0,,0,0,29.5,13.9,75,1016.7,50.8,16,306,1.1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T18:00:00,19.5,19.5,12.7,64.79,0,0,,0,0,27.7,12.9,58,1016.5,34.2,16,39,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T19:00:00,18.5,18.5,13,70.43,0,0,,0,0,25.9,9.7,67,1016.3,88.9,16,4,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T20:00:00,18.5,18.5,12.9,69.9,0,0,,0,0,24.1,10.2,89,1016.3,27.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T21:00:00,17.5,17.5,13.3,76.3,0,0,,0,0,24.1,9.5,95,1016.4,27.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2024-10-01T22:00:00,17.4,17.4,11.9,70.13,0,0,,0,0,22.3,10.2,72,1016.7,27.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
