datetime_utc,total_sum_co2,total_hourly_emission_co2_kg
2023-11-01 08:00:00,62907554.599800006,62907.55459980001
2023-11-01 09:00:00,66188925.0278,66188.9250278
2023-11-01 10:00:00,71584450.12003,71584.45012003
2023-11-01 11:00:00,79055622.8219,79055.62282189999
2023-11-01 12:00:00,81850264.6875,81850.2646875
2023-11-01 13:00:00,79815939.04298,79815.93904298
2023-11-01 14:00:00,77448202.11743,77448.20211743
2023-11-01 15:00:00,74908607.1023,74908.6071023
2023-11-01 16:00:00,72517319.67927,72517.31967927
2023-11-01 17:00:00,71231400.03848,71231.40003848
2023-11-01 18:00:00,70037620.1569,70037.6201569
2023-11-01 19:00:00,68184225.0597,68184.2250597
2023-11-01 20:00:00,68947457.83227,68947.45783227
2023-11-01 21:00:00,71402806.10457,71402.80610457
2023-11-01 22:00:00,78295778.8363,78295.7788363
2023-11-01 23:00:00,81148296.04112999,81148.29604112999
2023-11-02 00:00:00,78394985.98497,78394.98598497
2023-11-02 01:00:00,77488612.13170001,77488.6121317
2023-11-02 02:00:00,74915309.84547,74915.30984547
2023-11-02 03:00:00,71704759.80263,71704.75980263001
2023-11-02 04:00:00,67080814.00033,67080.81400033
2023-11-02 05:00:00,66570897.4983,66570.89749830001
2023-11-02 06:00:00,67173290.53647,67173.29053647
2023-11-02 07:00:00,67033564.18543,67033.56418543
2023-11-02 08:00:00,67133433.0419,67133.43304189999
2023-11-02 09:00:00,70732916.29519999,70732.91629519999
2023-11-02 10:00:00,76537421.7504,76537.42175040001
2023-11-02 11:00:00,84589918.3384,84589.9183384
2023-11-02 12:00:00,86377869.84910001,86377.86984910001
2023-11-02 13:00:00,80710019.393,80710.01939300001
2023-11-02 14:00:00,75518224.41420001,75518.22441420001
2023-11-02 15:00:00,71654212.6964,71654.2126964
2023-11-02 16:00:00,69175242.8249,69175.24282490001
2023-11-02 17:00:00,66739012.0481,66739.0120481
2023-11-02 18:00:00,63122782.03,63122.78203
2023-11-02 20:00:00,62350157.8737,62350.1578737
2023-11-02 21:00:00,66089325.3514,66089.32535140001
2023-11-02 22:00:00,72249933.45130001,72249.9334513
2023-11-02 23:00:00,75769707.7131,75769.7077131
2023-11-03 00:00:00,76784972.794,76784.972794
2023-11-03 01:00:00,74167340.8247,74167.3408247
2023-11-03 02:00:00,70454608.4646,70454.6084646
2023-11-03 03:00:00,65447039.5043,65447.039504299995
2023-11-03 04:00:00,61042021.9856,61042.021985600004
2023-11-03 05:00:00,59585449.42206,59585.449422059995
2023-11-03 06:00:00,59480259.315,59480.259314999996
2023-11-03 07:00:00,59030039.22796,59030.03922796
2023-11-03 08:00:00,59472401.42657,59472.401426569995
2023-11-03 09:00:00,62750512.2703,62750.5122703
2023-11-03 10:00:00,67372099.01486,67372.09901486001
2023-11-03 11:00:00,75019374.97539,75019.37497539
2023-11-03 12:00:00,78595219.19417,78595.21919417
2023-11-03 13:00:00,72486240.1478,72486.2401478
2023-11-03 14:00:00,67653167.12602,67653.16712602
2023-11-03 15:00:00,65417641.03033,65417.64103033
2023-11-03 16:00:00,61575944.207370006,61575.944207370005
2023-11-03 17:00:00,59584707.533870004,59584.70753387
2023-11-03 18:00:00,58083107.5533,58083.107553300004
2023-11-03 19:00:00,57317590.299270004,57317.59029927001
2023-11-03 20:00:00,58885713.17127,58885.71317127
2023-11-03 21:00:00,61868658.56085,61868.65856085
2023-11-03 22:00:00,63386299.8175,63386.2998175
2023-11-03 23:00:00,64109950.9637,64109.950963699994
2023-11-04 00:00:00,63575516.3022,63575.5163022
2023-11-04 01:00:00,62684305.0365,62684.3050365
2023-11-04 02:00:00,60077070.0088,60077.0700088
2023-11-04 03:00:00,58465675.99485,58465.675994850004
2023-11-04 04:00:00,55443075.437529996,55443.075437529995
2023-11-04 05:00:00,54136222.48,54136.22248
2023-11-04 06:00:00,54781374.80623,54781.37480623
2023-11-04 07:00:00,55444105.08713,55444.10508713
2023-11-04 08:00:00,56410124.12442,56410.12412442
2023-11-04 09:00:00,58290910.03025,58290.91003025
2023-11-04 10:00:00,58701588.522999994,58701.58852299999
2023-11-04 11:00:00,60902174.5728,60902.1745728
2023-11-04 12:00:00,63925129.04456999,63925.12904456999
2023-11-04 13:00:00,61559995.637269996,61559.995637269996
2023-11-04 14:00:00,60383872.2349,60383.872234899995
2023-11-04 15:00:00,59591119.46267,59591.11946267
2023-11-04 16:00:00,57170640.50813,57170.640508129996
2023-11-04 17:00:00,56149289.6862,56149.2896862
2023-11-04 18:00:00,56162712.3765,56162.7123765
2023-11-04 19:00:00,55432546.24657,55432.54624657
2023-11-04 20:00:00,55714031.54977,55714.03154977
2023-11-04 21:00:00,57335134.875649996,57335.134875649994
2023-11-04 22:00:00,60285493.208280005,60285.49320828001
2023-11-04 23:00:00,62829045.620500006,62829.04562050001
2023-11-05 00:00:00,60504881.85473,60504.88185473
2023-11-05 01:00:00,58511001.46595,58511.001465949994
2023-11-05 02:00:00,56397727.283999994,56397.72728399999
2023-11-05 03:00:00,54781587.9496,54781.587949600005
2023-11-05 05:00:00,47282916.613699995,47282.91661369999
2023-11-05 07:00:00,47512564.94207,47512.56494207
2023-11-05 08:00:00,48404079.61417,48404.07961417
2023-11-05 09:00:00,49467513.03993,49467.51303993
2023-11-05 10:00:00,51946512.34743,51946.51234743
2023-11-05 11:00:00,53593582.99123,53593.58299123
2023-11-05 12:00:00,55408762.51833,55408.76251833
2023-11-05 13:00:00,54307652.7138,54307.652713799995
2023-11-05 14:00:00,53340711.3477,53340.7113477
2023-11-05 15:00:00,52206580.12983,52206.58012983
2023-11-05 16:00:00,51204977.98213,51204.977982129996
2023-11-05 17:00:00,50008624.704670005,50008.62470467
2023-11-05 18:00:00,48832518.022130005,48832.51802213
2023-11-05 19:00:00,49559610.392469995,49559.61039246999
2023-11-05 20:00:00,51858471.90243,51858.47190243
2023-11-05 21:00:00,56055122.73812,56055.12273812
2023-11-05 22:00:00,59643605.587629996,59643.605587629994
2023-11-05 23:00:00,59532453.6107,59532.453610699995
2023-11-06 00:00:00,56876892.97962999,56876.89297962999
2023-11-06 01:00:00,54645471.31783,54645.47131782999
2023-11-06 02:00:00,52696327.068730004,52696.32706873
2023-11-06 03:00:00,49823157.3309,49823.1573309
2023-11-06 04:00:00,48290279.67463,48290.27967463
2023-11-06 05:00:00,47005301.12263,47005.30112263
2023-11-06 06:00:00,45600557.33797,45600.55733797
2023-11-06 07:00:00,44651616.837069996,44651.616837069996
2023-11-06 08:00:00,45112523.999630004,45112.52399963
2023-11-06 09:00:00,46073515.928,46073.515928
2023-11-06 10:00:00,48374077.1888,48374.0771888
2023-11-06 11:00:00,54266716.06733,54266.71606733
