datetime_utc,total_sum_co2,total_hourly_emission_co2_kg
2024-11-01 04:00:00,50913299.3765,50913.29937650001
2024-11-01 05:00:00,48880285.331249,48880.285331249
2024-11-01 06:00:00,47100754.121916,47100.754121916005
2024-11-01 07:00:00,46162485.782334,46162.485782334
2024-11-01 08:00:00,45977054.822334,45977.054822334
2024-11-01 09:00:00,47546265.394250005,47546.265394250004
2024-11-01 10:00:00,51025564.102166004,51025.564102166005
2024-11-01 11:00:00,56932001.383917004,56932.001383917006
2024-11-01 12:00:00,60439658.499083,60439.658499082994
2024-11-01 13:00:00,60349142.934166,60349.142934166
2024-11-01 16:00:00,57646161.387584,57646.161387584
2024-11-01 17:00:00,57859855.2535,57859.8552535
2024-11-01 18:00:00,58650390.6595,58650.3906595
2024-11-01 19:00:00,59072335.735333,59072.33573533301
2024-11-01 20:00:00,60169511.840583004,60169.51184058301
2024-11-01 21:00:00,62278795.318916,62278.795318916
2024-11-01 22:00:00,64219260.443417005,64219.260443417006
2024-11-01 23:00:00,64782908.005668,64782.908005667996
2024-11-02 00:00:00,62829334.225333,62829.334225333
2024-11-02 01:00:00,60885634.128667,60885.634128667
2024-11-02 02:00:00,58075054.536333,58075.054536333
2024-11-02 03:00:00,55121872.353666,55121.872353666
2024-11-02 04:00:00,51204928.985083,51204.928985082995
